offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Wisconsin,Big Ten,Iowa,Big Ten,401405135,40140513510,10,false,2,75,75,10,24,2,78,78,9,27,0,57,3,-3,PUNT,false,3,7,3,7
Iowa,Big Ten,Wisconsin,Big Ten,401405135,40140513511,11,false,2,56,44,9,27,2,60,40,8,37,0,50,3,4,PUNT,true,7,3,7,3
Wisconsin,Big Ten,Iowa,Big Ten,401405135,40140513512,12,false,2,80,80,8,37,2,39,39,5,22,3,15,7,41,PUNT,false,3,7,3,7
Iowa,Big Ten,Wisconsin,Big Ten,401405135,40140513513,13,false,2,20,80,5,22,2,23,77,2,13,3,9,6,3,PUNT,true,7,3,7,3
Wisconsin,Big Ten,Iowa,Big Ten,401405135,40140513514,14,true,2,73,73,2,13,2,71,71,1,58,0,15,2,2,INT TD,false,3,7,3,14
Wisconsin,Big Ten,Iowa,Big Ten,401405135,40140513515,15,true,2,75,75,1,58,2,0,0,0,52,1,6,7,75,TD,false,3,14,10,14
Iowa,Big Ten,Wisconsin,Big Ten,401405135,40140513516,16,false,2,25,75,0,52,2,25,75,0,0,0,52,2,0,END OF HALF,true,14,10,14,10
Wisconsin,Big Ten,Iowa,Big Ten,401405135,40140513517,17,false,3,75,75,14,56,3,71,71,13,4,1,52,4,4,INT,false,10,14,10,14
Iowa,Big Ten,Wisconsin,Big Ten,401405135,40140513518,18,false,3,44,56,13,4,3,50,50,10,58,2,6,3,6,PUNT,true,14,10,14,10
Wisconsin,Big Ten,Iowa,Big Ten,401405135,40140513519,19,false,3,80,80,10,58,3,83,83,8,51,2,7,3,-3,PUNT,false,10,14,10,14
Iowa,Big Ten,Wisconsin,Big Ten,401405135,40140513520,20,false,3,27,73,8,51,3,19,81,7,19,1,32,3,-8,PUNT,true,14,10,14,10
Wisconsin,Big Ten,Iowa,Big Ten,401405135,40140513521,21,false,3,62,62,7,19,3,56,56,6,26,0,53,3,6,PUNT,false,10,14,10,14
Iowa,Big Ten,Wisconsin,Big Ten,401405135,40140513522,22,false,3,28,72,6,26,3,41,59,3,46,2,40,6,13,PUNT,true,14,10,14,10
Wisconsin,Big Ten,Iowa,Big Ten,401405135,40140513523,23,false,3,99,99,3,46,3,87,87,0,50,2,56,6,12,PUNT,false,10,14,10,14
Iowa,Big Ten,Wisconsin,Big Ten,401405135,40140513524,24,true,3,82,18,0,50,4,100,0,13,52,1,58,5,18,TD,true,14,10,21,10
Wisconsin,Big Ten,Iowa,Big Ten,401405135,40140513525,25,false,4,81,81,13,47,4,70,70,11,36,2,11,6,11,PUNT,false,10,21,10,21
Iowa,Big Ten,Wisconsin,Big Ten,401405135,40140513526,26,false,4,22,78,11,36,4,20,80,10,5,1,31,3,-2,PUNT,true,21,10,21,10
Wisconsin,Big Ten,Iowa,Big Ten,401405135,40140513527,27,false,4,63,63,10,5,4,47,47,7,51,2,14,5,16,DOWNS,false,10,21,10,21
Iowa,Big Ten,Wisconsin,Big Ten,401405135,40140513528,28,true,4,47,53,7,51,4,74,26,2,54,4,57,11,27,FG,true,21,10,24,10
Wisconsin,Big Ten,Iowa,Big Ten,401405135,40140513529,29,false,4,75,75,2,47,4,78,78,2,18,0,29,2,-3,FUMBLE,false,10,24,10,24
Iowa,Big Ten,Wisconsin,Big Ten,401405135,40140513530,30,false,4,78,22,2,18,4,86,14,0,0,2,18,3,8,END OF GAME,true,24,10,24,10
